,,conversion,click,cvr,click percentage of total data
376,100276,19,19428,0.0009779699402923615,15.62552780793823
406,100912,1,8809,0.00011352026336701102,7.0848916234366826
4,81679,505,8443,0.05981286272651901,6.790525596171633
300,99760,267,8210,0.03252131546894032,6.603128644388145
391,100348,23,4681,0.004913480025635548,3.7648288896931676
282,98742,140,4141,0.03380825887466796,3.3305183576627657
5,81680,60,4100,0.014634146341463415,3.2975429283789763
141,94663,685,3869,0.1770483329025588,3.1117545341215265
305,100038,8,3530,0.0022662889518413596,2.8391040334579962
281,98741,200,3350,0.05970149253731343,2.6943338561145294
378,100279,1472,2984,0.4932975871313673,2.3999678288494795
405,100798,283,2814,0.10056858564321251,2.2632404391362044
224,98510,1067,2501,0.4266293482606957,2.0115011863111754
302,99824,0,2318,0.0,1.8643181726786504
33,85946,14,1900,0.007368421052631579,1.5281296497365986
280,98694,2,1620,0.0012345679012345679,1.3029315960912053
2,81677,44,1488,0.02956989247311828,1.1967667993726625
295,99755,2,1447,0.00138217000691085,1.163791370088873
32,85945,29,1123,0.025823686553873553,0.9032050508706319
307,100050,157,1095,0.14337899543378996,0.8806852455060923
327,100076,15,1093,0.013723696248856358,0.8790766879800538
301,99823,0,1064,0.0,0.8557526038524953
3,81678,69,990,0.0696969696969697,0.7962359753890699
342,100096,125,973,0.12846865364850976,0.7825632364177424
78,93751,0,842,0.0,0.677202718462219
225,98511,108,840,0.12857142857142856,0.6755941609361804
382,100283,370,833,0.44417767106842737,0.6699642095950457
30,85942,15,740,0.02027027027027027,0.5951662846342543
329,100078,24,719,0.03337969401947149,0.5782764306108498
1,81676,30,699,0.04291845493562232,0.5621908553504645
25,84349,0,696,0.0,0.5597780190614067
401,100721,1,680,0.0014705882352941176,0.5469095588530984
29,84463,0,668,0.0,0.5372582136968673
325,100073,19,655,0.02900763358778626,0.526802589777617
57,93047,0,613,0.0,0.4930228817308079
328,100077,10,603,0.01658374792703151,0.48498009410061527
404,100797,12,579,0.02072538860103627,0.4656774037881529
11,81686,19,560,0.033928571428571426,0.450396107290787
341,100095,69,527,0.13092979127134724,0.42385490811115134
23,84345,0,507,0.0,0.40776933285076605
284,98964,0,504,0.0,0.4053564965617083
388,100292,177,484,0.365702479338843,0.38927092130132307
386,100288,93,475,0.1957894736842105,0.38203241243414965
352,100230,7,447,0.015659955257270694,0.3595126070696103
366,100266,5,417,0.011990407673860911,0.33538424417903245
289,99433,22,412,0.05339805825242718,0.33136285036393615
326,100074,6,402,0.014925373134328358,0.32332006273374353
345,100099,4,379,0.010554089709762533,0.3048216511843005
26,84368,0,367,0.0,0.2951703060280693
354,100254,4,342,0.011695906432748537,0.2750633369525878
0,72414,69,338,0.20414201183431951,0.2718462219005107
6,81681,9,323,0.02786377708978328,0.2597820404552218
290,99434,19,321,0.059190031152647975,0.2581734829291833
34,85947,2,321,0.006230529595015576,0.2581734829291833
286,98967,0,309,0.0,0.2485221377729521
369,100269,4,302,0.013245033112582781,0.24289218643181726
46,90456,57,291,0.1958762886597938,0.2340451200386054
330,100079,8,289,0.02768166089965398,0.23243656251256684
347,100102,3,288,0.010416666666666666,0.23163228374954759
227,98513,38,286,0.13286713286713286,0.23002372622350906
346,100100,5,284,0.017605633802816902,0.22841516869747053
24,84346,0,282,0.0,0.226806611171432
331,100080,2,258,0.007751937984496124,0.2075039208589697
60,93052,0,251,0.0,0.20187396951783487
36,89778,0,238,0.0,0.19141834559858448
283,98865,7,233,0.030042918454935622,0.18739695178348817
139,94437,34,233,0.1459227467811159,0.18739695178348817
394,100709,2,230,0.008695652173913044,0.1849841154944304
138,94142,22,229,0.09606986899563319,0.1841798367314111
337,100086,0,224,0.0,0.18015844291631478
372,100272,2,214,0.009345794392523364,0.17211565528612216
355,100255,2,212,0.009433962264150943,0.17050709776008363
223,98509,17,210,0.08095238095238096,0.1688985402340451
40,90450,47,209,0.22488038277511962,0.16809426147102585
285,98965,0,201,0.0,0.16166003136687176
294,99754,0,193,0.0,0.15522580126271765
70,93480,0,193,0.0,0.15522580126271765
85,93891,89,190,0.46842105263157896,0.15281296497365987
334,100083,3,177,0.01694915254237288,0.14235734105440948
333,100082,1,176,0.005681818181818182,0.1415530622913902
368,100268,2,175,0.011428571428571429,0.14074878352837095
310,100053,36,175,0.2057142857142857,0.14074878352837095
206,98063,0,172,0.0,0.13833594723931314
335,100084,5,171,0.029239766081871343,0.1375316684762939
348,100103,0,163,0.0,0.13109743837213977
364,100264,2,162,0.012345679012345678,0.13029315960912052
367,100267,2,160,0.0125,0.128684602083082
339,100091,8,159,0.050314465408805034,0.12788032332006274
15,81690,0,157,0.0,0.1262717657940242
353,100231,4,154,0.025974025974025976,0.12385892950496642
84,93887,19,150,0.12666666666666668,0.12064181445288938
338,100087,2,141,0.014184397163120567,0.113403305585716
18,81693,3,133,0.022556390977443608,0.10696907548156191
55,90817,17,126,0.1349206349206349,0.10133912414042708
360,100260,1,125,0.008,0.10053484537740781
38,90448,40,124,0.3225806451612903,0.09973056661438855
27,84369,0,118,0.0,0.09490489403627297
370,100270,1,117,0.008547008547008548,0.09410061527325371
316,100059,41,114,0.35964912280701755,0.09168777898419593
114,94114,6,114,0.05263157894736842,0.09168777898419593
332,100081,0,112,0.0,0.09007922145815739
43,90453,27,112,0.24107142857142858,0.09007922145815739
350,100107,0,111,0.0,0.08927494269513814
398,100715,9,104,0.08653846153846154,0.0836449913540033
381,100282,31,104,0.2980769230769231,0.0836449913540033
293,99753,0,102,0.0,0.08203643382796477
365,100265,6,101,0.0594059405940594,0.08123215506494551
336,100085,8,101,0.07920792079207921,0.08123215506494551
106,94106,1,100,0.01,0.08042787630192624
297,99757,0,93,0.0,0.0747979249607914
387,100289,29,92,0.31521739130434784,0.07399364619777214
349,100106,0,92,0.0,0.07399364619777214
351,100108,0,91,0.0,0.07318936743475288
86,93892,21,90,0.23333333333333334,0.07238508867173363
362,100262,2,90,0.022222222222222223,0.07238508867173363
128,94130,5,87,0.05747126436781609,0.06997225238267583
343,100097,1,85,0.011764705882352941,0.0683636948566373
31,85944,0,80,0.0,0.064342301041541
375,100275,2,78,0.02564102564102564,0.06273374351550247
133,94135,14,78,0.1794871794871795,0.06273374351550247
395,100710,0,77,0.0,0.06192946475248321
356,100256,2,72,0.027777777777777776,0.057908070937386896
389,100293,40,72,0.5555555555555556,0.057908070937386896
287,98969,0,72,0.0,0.057908070937386896
308,100051,7,72,0.09722222222222222,0.057908070937386896
21,84337,0,71,0.0,0.05710379217436763
321,100069,2,69,0.028985507246376812,0.05549523464832911
226,98512,6,67,0.08955223880597014,0.05388667712229059
17,81692,0,64,0.0,0.051473840833232795
383,100284,21,63,0.3333333333333333,0.05066956207021354
373,100273,1,63,0.015873015873015872,0.05066956207021354
374,100274,0,63,0.0,0.05066956207021354
112,94112,1,62,0.016129032258064516,0.04986528330719427
16,81691,0,60,0.0,0.048256725781155745
177,96423,0,60,0.0,0.048256725781155745
188,97591,0,60,0.0,0.048256725781155745
52,90468,7,57,0.12280701754385964,0.045843889492097965
222,98508,5,53,0.09433962264150944,0.04262677444002091
385,100287,16,52,0.3076923076923077,0.04182249567700165
35,89776,0,51,0.0,0.041018216913982386
147,96363,0,51,0.0,0.041018216913982386
116,94116,2,51,0.0392156862745098,0.041018216913982386
39,90449,12,50,0.24,0.04021393815096312
397,100714,2,50,0.04,0.04021393815096312
276,98627,0,50,0.0,0.04021393815096312
402,100730,0,50,0.0,0.04021393815096312
393,100706,0,49,0.0,0.03940965938794386
371,100271,2,49,0.04081632653061224,0.03940965938794386
42,90452,12,47,0.2553191489361702,0.037801101861905335
19,81694,1,47,0.02127659574468085,0.037801101861905335
218,98500,0,46,0.0,0.03699682309888607
202,97753,5,45,0.1111111111111111,0.036192544335866814
396,100712,0,44,0.0,0.03538826557284755
363,100263,0,43,0.0,0.034583986809828285
357,100257,0,43,0.0,0.034583986809828285
251,98579,0,42,0.0,0.03377970804680902
53,90469,4,42,0.09523809523809523,0.03377970804680902
44,90454,13,42,0.30952380952380953,0.03377970804680902
271,98619,0,42,0.0,0.03377970804680902
119,94121,1,42,0.023809523809523808,0.03377970804680902
253,98585,0,41,0.0,0.03297542928378976
299,99759,2,41,0.04878048780487805,0.03297542928378976
68,93402,2,40,0.05,0.0321711505207705
81,93849,4,40,0.1,0.0321711505207705
317,100060,4,40,0.1,0.0321711505207705
49,90459,19,39,0.48717948717948717,0.031366871757751234
249,98574,0,39,0.0,0.031366871757751234
126,94128,0,39,0.0,0.031366871757751234
171,96407,0,39,0.0,0.031366871757751234
344,100098,0,38,0.0,0.030562592994731973
322,100070,3,38,0.07894736842105263,0.030562592994731973
313,100056,5,38,0.13157894736842105,0.030562592994731973
118,94120,0,37,0.0,0.029758314231712713
361,100261,0,37,0.0,0.029758314231712713
69,93428,10,36,0.2777777777777778,0.028954035468693448
120,94122,0,35,0.0,0.028149756705674187
159,96381,0,35,0.0,0.028149756705674187
170,96403,0,34,0.0,0.027345477942654926
47,90457,13,34,0.38235294117647056,0.027345477942654926
77,93750,0,33,0.0,0.026541199179635665
273,98623,0,33,0.0,0.026541199179635665
203,97754,7,33,0.21212121212121213,0.026541199179635665
233,98543,0,33,0.0,0.026541199179635665
399,100716,6,33,0.18181818181818182,0.026541199179635665
252,98582,0,32,0.0,0.025736920416616398
306,100039,0,31,0.0,0.024932641653597137
115,94115,1,30,0.03333333333333333,0.024128362890577872
221,98506,0,30,0.0,0.024128362890577872
87,93897,6,30,0.2,0.024128362890577872
122,94124,0,29,0.0,0.02332408412755861
149,96367,0,28,0.0,0.022519805364539347
318,100061,4,28,0.14285714285714285,0.022519805364539347
230,98539,0,27,0.0,0.02171552660152009
59,93051,0,27,0.0,0.02171552660152009
54,90816,4,26,0.15384615384615385,0.020911247838500825
165,96390,0,26,0.0,0.020911247838500825
235,98545,0,25,0.0,0.02010696907548156
298,99758,0,25,0.0,0.02010696907548156
239,98549,0,25,0.0,0.02010696907548156
144,96358,0,24,0.0,0.0193026903124623
61,93057,0,24,0.0,0.0193026903124623
237,98547,0,24,0.0,0.0193026903124623
190,97595,0,23,0.0,0.018498411549443036
58,93050,0,23,0.0,0.018498411549443036
358,100258,0,22,0.0,0.017694132786423775
160,96383,0,21,0.0,0.01688985402340451
95,94094,0,21,0.0,0.01688985402340451
215,98494,0,21,0.0,0.01688985402340451
50,90463,3,20,0.15,0.01608557526038525
72,93739,0,20,0.0,0.01608557526038525
93,94092,0,20,0.0,0.01608557526038525
152,96373,0,20,0.0,0.01608557526038525
311,100054,2,20,0.1,0.01608557526038525
182,97581,0,20,0.0,0.01608557526038525
186,97587,0,20,0.0,0.01608557526038525
379,100280,6,19,0.3157894736842105,0.015281296497365987
175,96420,0,19,0.0,0.015281296497365987
207,98484,0,19,0.0,0.015281296497365987
162,96386,0,19,0.0,0.015281296497365987
208,98485,0,18,0.0,0.014477017734346724
37,90447,6,17,0.35294117647058826,0.013672738971327463
132,94134,0,17,0.0,0.013672738971327463
291,99525,1,17,0.058823529411764705,0.013672738971327463
129,94131,1,16,0.0625,0.012868460208308199
380,100281,1,16,0.0625,0.012868460208308199
392,100352,0,16,0.0,0.012868460208308199
384,100286,13,16,0.8125,0.012868460208308199
164,96389,0,16,0.0,0.012868460208308199
91,94090,0,16,0.0,0.012868460208308199
130,94132,0,15,0.0,0.012064181445288936
124,94126,0,15,0.0,0.012064181445288936
314,100057,6,15,0.4,0.012064181445288936
14,81689,0,15,0.0,0.012064181445288936
73,93740,0,15,0.0,0.012064181445288936
236,98546,0,15,0.0,0.012064181445288936
268,98614,0,14,0.0,0.011259902682269674
309,100052,2,14,0.14285714285714285,0.011259902682269674
407,100913,1,14,0.07142857142857142,0.011259902682269674
174,96419,0,14,0.0,0.011259902682269674
121,94123,1,14,0.07142857142857142,0.011259902682269674
161,96385,0,14,0.0,0.011259902682269674
151,96371,0,14,0.0,0.011259902682269674
220,98505,0,14,0.0,0.011259902682269674
92,94091,0,13,0.0,0.010455623919250413
201,97752,2,13,0.15384615384615385,0.010455623919250413
377,100278,7,12,0.5833333333333334,0.00965134515623115
102,94101,0,12,0.0,0.00965134515623115
303,100036,0,12,0.0,0.00965134515623115
296,99756,0,12,0.0,0.00965134515623115
403,100732,0,12,0.0,0.00965134515623115
262,98605,0,12,0.0,0.00965134515623115
108,94108,0,11,0.0,0.008847066393211887
231,98540,0,11,0.0,0.008847066393211887
51,90465,1,11,0.09090909090909091,0.008847066393211887
184,97585,0,11,0.0,0.008847066393211887
275,98626,0,11,0.0,0.008847066393211887
113,94113,0,10,0.0,0.008042787630192625
274,98624,0,10,0.0,0.008042787630192625
205,98062,0,10,0.0,0.008042787630192625
56,92995,0,10,0.0,0.008042787630192625
320,100066,8,9,0.8888888888888888,0.007238508867173362
101,94100,0,9,0.0,0.007238508867173362
109,94109,0,9,0.0,0.007238508867173362
145,96359,0,9,0.0,0.007238508867173362
187,97588,0,9,0.0,0.007238508867173362
267,98613,0,9,0.0,0.007238508867173362
195,97609,0,9,0.0,0.007238508867173362
41,90451,2,9,0.2222222222222222,0.007238508867173362
264,98609,0,9,0.0,0.007238508867173362
234,98544,0,9,0.0,0.007238508867173362
148,96365,0,8,0.0,0.006434230104154099
97,94096,0,8,0.0,0.006434230104154099
194,97607,0,8,0.0,0.006434230104154099
142,94847,0,8,0.0,0.006434230104154099
140,94617,2,8,0.25,0.006434230104154099
312,100055,2,8,0.25,0.006434230104154099
135,94138,1,8,0.125,0.006434230104154099
359,100259,0,8,0.0,0.006434230104154099
117,94117,1,8,0.125,0.006434230104154099
48,90458,2,8,0.25,0.006434230104154099
8,81683,0,8,0.0,0.006434230104154099
89,94087,0,7,0.0,0.005629951341134837
232,98541,0,7,0.0,0.005629951341134837
214,98492,0,7,0.0,0.005629951341134837
319,100062,1,7,0.14285714285714285,0.005629951341134837
272,98621,0,7,0.0,0.005629951341134837
99,94098,1,7,0.14285714285714285,0.005629951341134837
66,93323,0,7,0.0,0.005629951341134837
76,93749,0,7,0.0,0.005629951341134837
107,94107,0,7,0.0,0.005629951341134837
127,94129,1,7,0.14285714285714285,0.005629951341134837
123,94125,1,7,0.14285714285714285,0.005629951341134837
9,81684,0,7,0.0,0.005629951341134837
212,98489,0,7,0.0,0.005629951341134837
261,98601,0,6,0.0,0.004825672578115575
269,98615,0,6,0.0,0.004825672578115575
270,98617,0,6,0.0,0.004825672578115575
189,97593,0,6,0.0,0.004825672578115575
193,97605,0,6,0.0,0.004825672578115575
257,98595,0,6,0.0,0.004825672578115575
179,97576,0,6,0.0,0.004825672578115575
292,99526,0,6,0.0,0.004825672578115575
22,84339,0,6,0.0,0.004825672578115575
263,98607,0,6,0.0,0.004825672578115575
10,81685,0,5,0.0,0.004021393815096312
242,98557,0,5,0.0,0.004021393815096312
153,96375,0,5,0.0,0.004021393815096312
90,94089,0,5,0.0,0.004021393815096312
278,98630,0,5,0.0,0.004021393815096312
277,98628,0,5,0.0,0.004021393815096312
192,97601,0,4,0.0,0.0032171150520770497
259,98599,0,4,0.0,0.0032171150520770497
79,93847,0,4,0.0,0.0032171150520770497
105,94104,0,4,0.0,0.0032171150520770497
82,93882,0,4,0.0,0.0032171150520770497
228,98537,0,4,0.0,0.0032171150520770497
217,98498,0,4,0.0,0.0032171150520770497
146,96362,0,4,0.0,0.0032171150520770497
216,98496,0,4,0.0,0.0032171150520770497
65,93322,0,4,0.0,0.0032171150520770497
74,93742,0,4,0.0,0.0032171150520770497
64,93320,0,4,0.0,0.0032171150520770497
110,94110,0,4,0.0,0.0032171150520770497
131,94133,0,4,0.0,0.0032171150520770497
125,94127,0,4,0.0,0.0032171150520770497
260,98600,0,4,0.0,0.0032171150520770497
265,98611,0,4,0.0,0.0032171150520770497
209,98486,0,3,0.0,0.0024128362890577875
136,94140,0,3,0.0,0.0024128362890577875
288,99200,0,3,0.0,0.0024128362890577875
13,81688,0,3,0.0,0.0024128362890577875
20,81695,0,3,0.0,0.0024128362890577875
390,100294,2,3,0.6666666666666666,0.0024128362890577875
240,98551,0,3,0.0,0.0024128362890577875
180,97578,0,3,0.0,0.0024128362890577875
103,94102,0,3,0.0,0.0024128362890577875
191,97599,0,3,0.0,0.0024128362890577875
45,90455,0,3,0.0,0.0024128362890577875
96,94095,0,3,0.0,0.0024128362890577875
176,96421,0,3,0.0,0.0024128362890577875
219,98503,0,3,0.0,0.0024128362890577875
168,96397,0,3,0.0,0.0024128362890577875
254,98586,0,3,0.0,0.0024128362890577875
172,96415,0,3,0.0,0.0024128362890577875
185,97586,0,3,0.0,0.0024128362890577875
62,93059,0,2,0.0,0.0016085575260385248
83,93886,0,2,0.0,0.0016085575260385248
88,93899,0,2,0.0,0.0016085575260385248
28,84370,0,2,0.0,0.0016085575260385248
80,93848,0,2,0.0,0.0016085575260385248
94,94093,0,2,0.0,0.0016085575260385248
12,81687,0,2,0.0,0.0016085575260385248
323,100071,0,2,0.0,0.0016085575260385248
204,97756,1,2,0.5,0.0016085575260385248
200,97751,0,2,0.0,0.0016085575260385248
279,98693,0,2,0.0,0.0016085575260385248
229,98538,0,2,0.0,0.0016085575260385248
183,97583,0,2,0.0,0.0016085575260385248
304,100037,0,2,0.0,0.0016085575260385248
166,96393,0,2,0.0,0.0016085575260385248
163,96387,0,2,0.0,0.0016085575260385248
134,94136,1,2,0.5,0.0016085575260385248
157,96379,0,2,0.0,0.0016085575260385248
155,96377,0,2,0.0,0.0016085575260385248
243,98559,0,2,0.0,0.0016085575260385248
154,96376,0,2,0.0,0.0016085575260385248
150,96369,0,2,0.0,0.0016085575260385248
137,94141,0,2,0.0,0.0016085575260385248
181,97579,0,2,0.0,0.0016085575260385248
213,98491,0,1,0.0,0.0008042787630192624
256,98589,0,1,0.0,0.0008042787630192624
266,98612,0,1,0.0,0.0008042787630192624
258,98597,0,1,0.0,0.0008042787630192624
211,98488,0,1,0.0,0.0008042787630192624
63,93319,0,1,0.0,0.0008042787630192624
111,94111,0,1,0.0,0.0008042787630192624
255,98588,0,1,0.0,0.0008042787630192624
250,98575,0,1,0.0,0.0008042787630192624
248,98571,0,1,0.0,0.0008042787630192624
210,98487,0,1,0.0,0.0008042787630192624
400,100719,0,1,0.0,0.0008042787630192624
246,98567,0,1,0.0,0.0008042787630192624
245,98565,0,1,0.0,0.0008042787630192624
244,98564,0,1,0.0,0.0008042787630192624
241,98553,0,1,0.0,0.0008042787630192624
7,81682,0,1,0.0,0.0008042787630192624
247,98569,0,1,0.0,0.0008042787630192624
75,93746,0,1,0.0,0.0008042787630192624
199,97621,0,1,0.0,0.0008042787630192624
67,93325,0,1,0.0,0.0008042787630192624
340,100092,0,1,0.0,0.0008042787630192624
143,96356,0,1,0.0,0.0008042787630192624
104,94103,0,1,0.0,0.0008042787630192624
156,96378,0,1,0.0,0.0008042787630192624
100,94099,0,1,0.0,0.0008042787630192624
158,96380,0,1,0.0,0.0008042787630192624
98,94097,0,1,0.0,0.0008042787630192624
324,100072,0,1,0.0,0.0008042787630192624
167,96395,0,1,0.0,0.0008042787630192624
169,96398,0,1,0.0,0.0008042787630192624
173,96417,0,1,0.0,0.0008042787630192624
315,100058,1,1,1.0,0.0008042787630192624
178,97575,0,1,0.0,0.0008042787630192624
196,97611,0,1,0.0,0.0008042787630192624
197,97614,0,1,0.0,0.0008042787630192624
198,97615,0,1,0.0,0.0008042787630192624
71,93736,0,1,0.0,0.0008042787630192624
238,98548,0,1,0.0,0.0008042787630192624
